Input_Symptom_ID,Patient_Expression_CN,Standard_Clinical_Term_CN,Standard_Clinical_Term_EN,Feature_Name,Symptom_Category_CN,Clinical_Importance_CN
AD_INPUT_CN_0001,最近发生的事总记不住,情景记忆损害,Episodic memory impairment,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0002,刚经历过的事情转头就忘,情景记忆损害,Episodic memory impairment,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0003,最近总忘刚发生的事情,情景记忆损害,Episodic memory impairment,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0004,刚聊过的内容很快想不起来,情景记忆损害,Episodic memory impairment,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0005,最近总忘事情,近期记忆下降,Recent memory loss,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0006,近来的事情记不住,近期记忆下降,Recent memory loss,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0007,刚说过的话马上忘,近期记忆下降,Recent memory loss,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0008,最近记性明显变差,近期记忆下降,Recent memory loss,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0009,学新的东西很吃力,新信息学习能力下降,Learning impairment,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0010,新教他的事情过一会儿又忘,新信息学习能力下降,Learning impairment,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0011,最近学不会新的操作,新信息学习能力下降,Learning impairment,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0012,别人刚告诉的方法很快就记不住,新信息学习能力下降,Learning impairment,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0013,经常重复问同一个问题,反复提问,Repetitive questioning,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0014,刚问过的问题一会儿又问,反复提问,Repetitive questioning,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0015,一天里反复确认同一件事,反复提问,Repetitive questioning,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0016,家属说他总重复问时间和安排,反复提问,Repetitive questioning,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0017,经常忘记约好的事情,忘记预约或计划事项,Forgetting appointments,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0018,预约好的检查总忘,忘记预约或计划事项,Forgetting appointments,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0019,说好要做的安排常常忘掉,忘记预约或计划事项,Forgetting appointments,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0020,最近老忘记自己的计划,忘记预约或计划事项,Forgetting appointments,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0021,过一会儿就想不起刚记的内容,延迟回忆能力下降,Poor delayed recall,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0022,隔一段时间再问就回忆不出来,延迟回忆能力下降,Poor delayed recall,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0023,刚学的信息延后再问就忘了,延迟回忆能力下降,Poor delayed recall,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0024,提示后仍难想起刚才内容,延迟回忆能力下降,Poor delayed recall,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0025,最近去过哪里常想不起来,近期个人经历记忆困难,Autobiographical memory difficulty,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0026,刚见过谁过后就忘,近期个人经历记忆困难,Autobiographical memory difficulty,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
