Assessment_Rule_ID,Clinical_Pattern,Recommended_Assessment,Priority_Level,Assessment_Purpose,Assessment_Sequence,Clinical_Trigger,Clinical_Rationale,Reference_Type,Reference,Assessment_Role,Clinical_Decision_Point,Result_Integration_Note,Chinese_Assessment_Name,Chinese_Assessment_Purpose,Chinese_Clinical_Rationale
AD_ASSESS_001,AD_PATTERN_001,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment",Level 1,Cognitive characterization,1: Initial evaluation,"objective cognitive concern, multidomain symptoms, or need to characterize domain profile","Used to objectively evaluate cognitive symptoms, domain involvement, and functional impact before advanced testing.",Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Characterization,Objective concern or need to define cognitive-domain profile,Cognitive test results should feed back into feature extraction and rule matching; clinician interpretation remains required.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估,认知功能特征评估,用于客观刻画受损认知领域、严重程度及其与日常功能的关系。
AD_ASSESS_002,AD_PATTERN_002,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment",Level 1,Cognitive characterization,1: Initial evaluation,"objective cognitive concern, multidomain symptoms, or need to characterize domain profile","Used to objectively evaluate cognitive symptoms, domain involvement, and functional impact before advanced testing.",Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Screening,Initial cognitive complaint,Cognitive test results should feed back into feature extraction and rule matching; clinician interpretation remains required.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估,认知功能特征评估,用于客观刻画受损认知领域、严重程度及其与日常功能的关系。
AD_ASSESS_003,AD_PATTERN_003,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment",Level 1,Cognitive characterization,1: Initial evaluation,"objective cognitive concern, multidomain symptoms, or need to characterize domain profile","Used to objectively evaluate cognitive symptoms, domain involvement, and functional impact before advanced testing.",Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Characterization,Objective concern or need to define cognitive-domain profile,Cognitive test results should feed back into feature extraction and rule matching; clinician interpretation remains required.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估,认知功能特征评估,用于客观刻画受损认知领域、严重程度及其与日常功能的关系。
AD_ASSESS_004,AD_PATTERN_004,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment | Level 2: Structural evaluation - MRI",Level 2,Structural evaluation,2: Further evaluation,"objective cognitive decline, functional impact, atypical presentation, or need to exclude structural contributors","Used to document objective cognitive impairment, functional stage, and structural contributors before considering AD-specific biomarkers.",Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Differential_exclusion,"Objective impairment, functional decline, or atypical presentation",Structural findings should be integrated with cognitive and functional assessment to refine differential considerations.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估；磁共振成像检查（MRI）,脑结构影像学评估,用于评估脑结构改变，并排查血管性、占位性或其他结构性病因。
AD_ASSESS_005,AD_PATTERN_005,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment",Level 1,Cognitive characterization,1: Initial evaluation,"objective cognitive concern, multidomain symptoms, or need to characterize domain profile","Used to objectively evaluate cognitive symptoms, domain involvement, and functional impact before advanced testing.",Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Characterization,Objective concern or need to define cognitive-domain profile,Cognitive test results should feed back into feature extraction and rule matching; clinician interpretation remains required.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估,认知功能特征评估,用于客观刻画受损认知领域、严重程度及其与日常功能的关系。
AD_ASSESS_006,AD_PATTERN_006,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment | Level 2: Structural evaluation - MRI",Level 2,Structural evaluation,2: Further evaluation,"objective cognitive decline, functional impact, atypical presentation, or need to exclude structural contributors","Used to document objective cognitive impairment, functional stage, and structural contributors before considering AD-specific biomarkers.",Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Differential_exclusion,"Objective impairment, functional decline, or atypical presentation",Structural findings should be integrated with cognitive and functional assessment to refine differential considerations.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估；磁共振成像检查（MRI）,脑结构影像学评估,用于评估脑结构改变，并排查血管性、占位性或其他结构性病因。
AD_ASSESS_007,AD_PATTERN_007,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment",Level 1,Cognitive characterization,1: Initial evaluation,"objective cognitive concern, multidomain symptoms, or need to characterize domain profile","Used to objectively evaluate cognitive symptoms, domain involvement, and functional impact before advanced testing.",Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Characterization,Objective concern or need to define cognitive-domain profile,Cognitive test results should feed back into feature extraction and rule matching; clinician interpretation remains required.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估,认知功能特征评估,用于客观刻画受损认知领域、严重程度及其与日常功能的关系。
AD_ASSESS_008,AD_PATTERN_008,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment | Level 2: Structural evaluation - MRI | Level 3: AD biomarker evaluation - CSF biomarkers, Plasma biomarkers, Amyloid PET, Tau PET",Level 3,AD pathology evaluation,3: Specialized confirmation,"diagnostic uncertainty, atypical presentation, early-onset syndrome, or confirmation setting",Atypical language or visuospatial patterns require structural evaluation and may need AD-specific biomarkers when diagnosis remains uncertain.,Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Confirmation,"Persistent diagnostic uncertainty, atypical presentation, or confirmation setting",Biomarker results should be integrated with clinical assessment for final diagnostic consideration; this rule does not interpret biomarker results.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估；磁共振成像检查（MRI）；脑脊液生物标志物检测；血液生物标志物检测；淀粉样蛋白PET显像；Tau蛋白PET显像,AD病理相关生物标志物评估,用于在临床不确定或非典型表现时补充AD病理相关证据，结果需与临床评估综合解释。
AD_ASSESS_009,AD_PATTERN_009,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment | Level 2: Structural evaluation - MRI | Level 3: AD biomarker evaluation - CSF biomarkers, Plasma biomarkers, Amyloid PET, Tau PET",Level 3,AD pathology evaluation,3: Specialized confirmation,"diagnostic uncertainty, atypical presentation, early-onset syndrome, or confirmation setting",Atypical language or visuospatial patterns require structural evaluation and may need AD-specific biomarkers when diagnosis remains uncertain.,Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Confirmation,"Persistent diagnostic uncertainty, atypical presentation, or confirmation setting",Biomarker results should be integrated with clinical assessment for final diagnostic consideration; this rule does not interpret biomarker results.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估；磁共振成像检查（MRI）；脑脊液生物标志物检测；血液生物标志物检测；淀粉样蛋白PET显像；Tau蛋白PET显像,AD病理相关生物标志物评估,用于在临床不确定或非典型表现时补充AD病理相关证据，结果需与临床评估综合解释。
AD_ASSESS_010,AD_PATTERN_010,"Level 1: Initial clinical assessment - MMSE, MoCA, Neuropsychological assessment",Level 1,Cognitive characterization,1: Initial evaluation,"objective cognitive concern, multidomain symptoms, or need to characterize domain profile","Used to objectively evaluate cognitive symptoms, domain involvement, and functional impact before advanced testing.",Guideline,"Atri A. Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for primary care. Alzheimer's & Dementia. 2025;21(6):e14333. DOI: 10.1002/alz.14333.",Characterization,Objective concern or need to define cognitive-domain profile,Cognitive test results should feed back into feature extraction and rule matching; clinician interpretation remains required.,蒙特利尔认知评估量表（MoCA）；简易精神状态检查量表（MMSE）；神经心理学评估,认知功能特征评估,用于客观刻画受损认知领域、严重程度及其与日常功能的关系。
