Field_ID,Field_Name_CN,Field_Type,Required,Description_CN
FIELD_001,年龄,number,Yes,记录患者年龄，用于临床背景描述，不直接生成AD结论。
FIELD_002,性别,single_select,Yes,记录患者性别，可选男、女、其他/未说明。
FIELD_003,受教育程度,single_select,Recommended,记录受教育年限或教育水平，辅助解释认知量表表现。
FIELD_004,记忆下降,multi_select_or_text,Recommended,记录近期记忆下降、情景记忆损害、反复提问或新信息学习困难等表现。
FIELD_005,执行功能下降,multi_select_or_text,Recommended,记录计划、判断、问题解决、财务管理或复杂任务处理困难。
FIELD_006,语言困难,multi_select_or_text,Recommended,记录找词困难、命名困难、复述困难或语言理解下降。
FIELD_007,空间导航困难,multi_select_or_text,Recommended,记录熟悉地点迷路、导航困难、视觉空间判断或视觉感知问题。
FIELD_008,注意力下降,multi_select_or_text,Recommended,记录注意维持困难、容易走神、视觉注意下降或明显波动。
FIELD_009,行为变化,multi_select_or_text,Recommended,记录淡漠、激越、人格改变、抑郁症状、妄想或幻觉等行为精神症状。
FIELD_010,functional_decline,integer_select,Yes,功能影响等级：0无明显功能影响；1复杂活动受限；2工具性生活活动受损；3基本生活活动受损。
FIELD_011,是否逐渐进展,boolean,Recommended,记录症状是否呈渐进性加重；进展性病程会提高AD相关模式解释权重。
FIELD_012,持续时间,text_or_duration,Recommended,记录症状持续时间，例如数月、1年、2年以上，用于区分急性/亚急性与慢性进展。
FIELD_013,起病方式,single_select,Recommended,可选隐匿起病、急性起病、阶梯式下降、快速进展、无法判断。
FIELD_014,快速进展,boolean,Recommended,若认知下降在数周至数月内快速进展，应触发红旗提示。
FIELD_015,幻觉,boolean,Recommended,记录明显视觉或其他幻觉，用于路易体痴呆等鉴别提示。
FIELD_016,行为明显改变,boolean,Recommended,记录早期突出人格改变、脱抑制、共情下降或刻板行为，用于FTD鉴别提示。
FIELD_017,卒中史,boolean,Recommended,记录卒中史、局灶神经体征或血管危险因素，用于血管性认知障碍鉴别提示。
