Pattern_ID,Chinese_Pattern_Name,Clinical_Profile_Summary_CN,Cognitive_Impairment_Explanation_CN,AD_Relevance_Explanation_CN,Possible_AD_Stage_CN,Stage_Reason_CN,Differential_Diagnosis_Message_CN,Recommended_Assessment_Message_CN,Clinical_Caution_CN,Evidence_Summary_CN,Clinical_Uncertainty_CN
AD_PATTERN_001,记忆主导型AD相关轻度认知障碍评估线索,患者目前主要表现为近期记忆下降和新信息保持困难，反复询问等表现提示以情景记忆功能异常为主要临床特点，日常独立性受影响程度尚需进一步确认。,当前资料主要支持记忆功能异常，尤其是近期事件保持和新信息学习方面；执行、语言及视觉空间领域是否受累，仍需结合认知量表进一步筛查。,当前症状组合与记忆主导型认知损害模式存在一定一致性，该模式常见于阿尔茨海默病早期阶段，但仍需结合客观认知评估及辅助检查进一步判断。,根据当前认知表现和功能影响程度，患者情况可能接近AD相关轻度认知障碍（MCI due to AD）的评估范围，但需以客观认知测评和随访病程为依据。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,若存在急性或阶梯式下降、卒中史、显著情绪睡眠问题或药物影响，应进一步关注血管性认知障碍、抑郁相关认知改变及可逆性因素。,建议首先进行认知功能评估（如MoCA、MMSE，并根据需要完善神经心理测评），用于明确认知损害范围和主要受累领域；结合临床需要进一步完善头颅MRI，以评估脑结构改变并协助排除血管性或占位性病变；在诊断仍不明确或需要专科分层时，可考虑AD相关生物标志物检测。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 进行性近期记忆下降或反复询问；
- 新信息学习和保持困难；
- 日常独立性目前保留或仅轻度受影响；
- 需要结合客观认知测评确认记忆域改变。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_002,主观记忆下降评估线索,患者目前以主观记忆下降为主要诉求，日常功能相对保留，临床上需要进一步区分正常老化、情绪睡眠因素与早期认知改变。,目前主要为主观记忆体验改变，尚不能仅凭主诉判断客观认知损害；应通过MoCA、MMSE或更完整神经心理测评确认受累领域。,主观记忆下降可见于AD连续谱早期，也常受情绪、睡眠和正常老化影响；当前信息更适合作为进一步筛查的线索。,目前更接近主观认知下降或早期认知改变的观察范围，是否已达到客观认知下降仍需通过量表和神经心理评估确认。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,建议进一步关注焦虑抑郁、睡眠障碍、甲状腺或维生素代谢异常等可影响主观记忆体验的因素。,建议首先进行认知筛查（如MoCA、MMSE）和情绪、睡眠评估，用于判断主观记忆下降是否伴客观认知改变；如量表提示异常或症状持续进展，可进一步完善头颅MRI和必要的实验室检查。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 患者或照护者报告记忆下降；
- 目前功能独立性相对保留；
- 需要客观量表确认是否存在认知下降；
- 情绪、睡眠和躯体因素仍需同步评估。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_003,反复询问相关记忆改变评估线索,患者目前主要表现为反复询问、近期事件遗忘或新信息保持困难，记忆相关症状较为突出，可伴有轻度行为或注意线索。,记忆领域是当前最突出的观察重点，反复询问提示信息保持困难；行为、注意或执行相关表现如有伴随，应作为次要线索进一步追问。,反复询问和近期记忆保持困难与记忆主导型AD相关临床表现存在一致性，但需要通过客观测评确认是否达到认知损害标准。,若日常独立性基本保留，患者情况可能接近AD相关轻度认知障碍的评估范围；如功能影响加重，则需进一步评估是否进入痴呆阶段。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,若反复行为并非遗忘所致，或伴强迫样行为、明显人格改变，应进一步关注额颞叶相关疾病和精神行为因素。,建议首先进行认知功能评估（如MoCA、MMSE，并根据需要完善神经心理测评），用于明确认知损害范围和主要受累领域；结合临床需要进一步完善头颅MRI，以评估脑结构改变并协助排除血管性或占位性病变；在诊断仍不明确或需要专科分层时，可考虑AD相关生物标志物检测。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 反复询问或近期事件遗忘较突出；
- 新信息保持困难提示记忆线索；
- 功能影响程度尚未达到明确重度受限；
- 需排除非遗忘所致的重复行为。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_004,认知改变伴工具性生活活动受影响评估线索,患者目前主要表现为记忆下降并伴复杂事务处理能力减退，工具性生活活动受到影响，提示认知改变已开始进入日常功能层面。,当前资料以记忆功能异常和复杂日常任务下降为主要线索，执行功能可能同时参与；具体受累范围需通过认知域测评和功能量表确认。,记忆下降合并工具性生活活动受影响与AD相关痴呆评估路径存在一定一致性，但仍需排除血管性、药物性或情绪相关因素。,认知改变已可能影响工具性生活活动，病情程度可能接近AD相关痴呆阶段的评估范围，但仍需结合功能量表和病因鉴别综合判断。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,若功能下降与卒中、帕金森样症状、躯体衰弱或药物镇静相关，应进一步关注血管性、运动障碍相关或非认知因素。,建议首先进行认知功能评估（如MoCA、MMSE，并根据需要完善神经心理测评），用于明确认知损害范围和主要受累领域；结合临床需要进一步完善头颅MRI，以评估脑结构改变并协助排除血管性或占位性病变；在诊断仍不明确或需要专科分层时，可考虑AD相关生物标志物检测。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 近期记忆下降伴复杂事务处理困难；
- 工具性生活活动已受到影响；
- 功能变化有助于区分MCI与痴呆阶段；
- 起病方式和血管危险因素需进一步核实。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_005,多认知领域改变评估线索,患者目前表现不局限于单一认知领域，记忆下降可能为主要问题，同时可见执行、语言或视觉空间相关线索，需进一步明确主次关系。,当前资料提示多认知领域可能受累，但仍需区分主要受累领域与伴随线索；记忆功能、执行功能和语言或视觉空间表现应分层评估。,多认知域改变可见于AD相关临床综合征，但并不具有特异性；需要结合起病方式、进展速度和辅助检查判断其相关性。,目前表现提示多认知域受累的可能，疾病阶段需根据日常功能影响程度进一步区分轻度认知障碍与痴呆阶段。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,多认知域表现需要进一步关注血管性认知障碍、路易体相关认知障碍、抑郁相关认知改变及混合病因可能。,建议首先进行认知功能评估（如MoCA、MMSE，并根据需要完善神经心理测评），用于明确认知损害范围和主要受累领域；结合临床需要进一步完善头颅MRI，以评估脑结构改变并协助排除血管性或占位性病变；在诊断仍不明确或需要专科分层时，可考虑AD相关生物标志物检测。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 认知改变可能涉及多个领域；
- 记忆下降为重要观察线索；
- 功能状态决定阶段评估方向；
- 需结合病程和排除信息判断临床相关性。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_006,多认知领域改变伴日常功能影响评估线索,患者目前呈多认知领域改变并伴较明确的日常功能影响，临床上应关注认知下降对独立生活能力的实际影响。,多认知领域改变合并功能影响时，应重点评估记忆、执行和日常生活能力之间的关系，并确认是否存在可逆或混合因素。,多认知域改变合并功能影响与AD相关痴呆临床表现存在一致性，但该模式同样可见于混合性或其他神经退行性疾病。,结合多认知域表现和功能影响，患者情况可能接近痴呆阶段的评估范围，但不宜仅凭症状录入作阶段定性。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,建议进一步关注血管危险因素、卒中史、帕金森样表现、认知波动和药物影响，以识别混合性或非AD病因。,建议首先进行认知功能评估（如MoCA、MMSE，并根据需要完善神经心理测评），用于明确认知损害范围和主要受累领域；结合临床需要进一步完善头颅MRI，以评估脑结构改变并协助排除血管性或占位性病变；在诊断仍不明确或需要专科分层时，可考虑AD相关生物标志物检测。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 多认知领域改变伴日常功能影响；
- 功能下降程度提示需要阶段评估；
- 需确认功能受限是否由认知改变导致；
- 混合性或非AD因素仍需鉴别。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_007,执行功能相关认知改变评估线索,患者目前以计划、判断或复杂任务处理困难较为突出，执行功能相关表现需要与记忆、情绪及额叶相关疾病线索共同分析。,当前资料主要指向执行功能相关困难，记忆受累程度尚需进一步确认；若早期行为改变突出，应同步评估额叶相关疾病线索。,执行功能突出改变可与AD相关多认知域损害并存，但若记忆下降不明确，应谨慎解释其AD相关性。,当前资料更多提示执行功能相关认知改变，阶段判断应结合记忆测评结果和工具性生活活动受影响程度进一步明确。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,执行功能突出时，应进一步关注额颞叶痴呆、血管性认知障碍、抑郁相关认知改变及睡眠障碍。,建议首先进行认知功能评估（如MoCA、MMSE，并根据需要完善神经心理测评），用于明确认知损害范围和主要受累领域；结合临床需要进一步完善头颅MRI，以评估脑结构改变并协助排除血管性或占位性病变；在诊断仍不明确或需要专科分层时，可考虑AD相关生物标志物检测。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 计划、判断或复杂任务处理困难；
- 执行功能线索较突出；
- 功能状态需作为阶段判断依据；
- 需结合记忆测评和行为表现鉴别。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_008,语言主导型非典型AD相关评估线索,患者目前以找词困难、命名困难或语言表达不流畅为突出表现，语言相关症状较为醒目，记忆和其他认知领域仍需系统评估。,语言功能是当前主要关注领域，表现可能涉及命名、找词或表达流畅性；记忆和执行功能属于需要进一步评估的伴随领域。,语言主导型表现可见于非典型AD相关临床模式，尤其需结合语言分型、影像学和生物标志物信息进一步判断。,语言表现突出时可能处于非典型AD相关认知障碍的评估范围，阶段判断需结合语言评估、记忆测评和功能影响程度。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,语言主导表现需要进一步关注原发性进行性失语不同亚型、额颞叶变性以及卒中后失语等情况。,建议首先进行语言功能和总体认知评估，用于明确命名、找词、复述和理解受影响程度；结合头颅MRI评估优势半球语言网络及其他脑结构改变，必要时再考虑AD相关生物标志物。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 找词、命名或表达流畅性下降；
- 语言表现早期较突出；
- 需同步评估记忆和执行功能；
- 非典型AD及其他语言障碍均需鉴别。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_009,logopenic样语言障碍评估线索,患者目前以找词困难和语句组织困难为主要表现，整体呈语言主导型认知改变线索，需要进一步确认是否符合logopenic样语言障碍特征。,当前资料主要支持语言主导型改变，尤其是找词和语句组织方面；复述、命名、理解和情景记忆测评有助于进一步分型。,logopenic样语言障碍与AD病理背景可存在相关性，但临床上需与其他原发性进行性失语亚型鉴别。,目前表现可能接近语言主导型认知障碍的评估范围，是否属于AD相关病理背景需结合客观语言测评和辅助检查进一步判断。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,建议进一步关注非流畅型或语义型原发性进行性失语、卒中后语言障碍及其他局灶性脑病变。,建议完善语言专项神经心理评估，用于区分不同原发性进行性失语亚型；结合头颅MRI或功能影像评估语言网络受累特点，必要时考虑AD相关生物标志物检测。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 找词困难和语句组织困难较突出；
- 语言网络相关表现需要分型；
- 需评估复述、命名和理解能力；
- 卒中后语言障碍等情况需排除。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
AD_PATTERN_010,视觉空间和导航困难评估线索,患者目前主要表现为方向感下降、熟悉环境中迷路或空间判断困难，提示视觉空间和导航相关能力可能受到影响。,视觉空间能力和定向导航是当前主要关注领域，记忆和执行功能可能作为伴随线索；需排除眼科或外周视觉因素影响。,视觉空间和导航障碍可见于AD相关后部认知网络受累，但需结合眼科评估、影像学和其他认知域表现综合判断。,视觉空间和导航相关表现提示可能存在后部认知网络受累，阶段判断需结合日常功能影响和影像学检查进一步评估。,疾病阶段辅助评估需同时参考认知域表现、功能影响程度、起病方式和病程进展；当前内容仅提示评估方向，不作阶段定论。,视觉空间表现突出时，应进一步关注眼科疾病、脑血管病、路易体相关认知障碍和后部皮质病变。,建议进行认知功能评估并重点覆盖视觉空间和执行功能项目，用于明确导航和空间判断困难的认知基础；同时完善头颅MRI，并根据情况进行眼科评估。,本报告用于神经内科初诊场景下的临床信息整理和辅助判断，不作为自动诊断结论。,"本次辅助分析主要依据：
- 方向感下降、迷路或空间判断困难；
- 视觉空间和导航能力为主要线索；
- 眼科因素和结构性病变需排除；
- 功能影响程度决定后续阶段评估。",以上结果基于当前录入信息进行辅助分析，不能替代临床诊断；需要结合完整病史、神经心理评估、体格检查及必要的辅助检查综合判断。
