Differential_Rule_ID,Clinical_Feature_Pattern,Alternative_Diagnosis,Why_Consider,Distinguishing_Features,AD_vs_Other_Key_Difference,Red_Flag_Features,Suggested_Next_Assessment,Reference,Differential_Priority,AD_vs_Other_Core_Difference,Recommended_Discrimination_Assessment,Chinese_Alternative_Diagnosis,Chinese_Distinguishing_Features
AD_DIFF_001,Early behavioral change + executive dysfunction,Frontotemporal dementia,Early personality or behavioral change with executive dysfunction may be more suggestive of FTD than typical amnestic AD.,"Early disinhibition, loss of empathy, compulsive behavior, prominent executive dysfunction",Early behavioral/language symptoms dominate while episodic memory may be relatively preserved initially.,Early severe behavior change; disinhibition; loss of empathy; compulsive behavior,Detailed neuropsychological assessment plus MRI focused on frontal/anterior temporal patterns,Rascovsky K. Sensitivity of revised diagnostic criteria for the behavioural variant of frontotemporal dementia. Brain. 2011;134(Pt 9):2456-2477. DOI: 10.1093/brain/awr179. https://pubmed.ncbi.nlm.nih.gov/21810890/,High,Early behavioral/language symptoms dominate while episodic memory may be relatively preserved initially.,Detailed neuropsychological assessment plus MRI focused on frontal/anterior temporal patterns,额颞叶痴呆,早期常以行为改变、人格改变或语言障碍突出，记忆下降可相对较轻。
AD_DIFF_002,Visual hallucinations + attention impairment,Dementia with Lewy bodies,Hallucinations and attention fluctuation can point away from typical AD and toward Lewy body disease.,"Visual hallucinations, cognitive fluctuation, parkinsonism, REM sleep behavior disorder","Visual hallucinations, cognitive fluctuations, parkinsonism, or REM sleep behavior disorder are more prominent than typical AD.",Early hallucination; marked fluctuation; parkinsonism; REM sleep behavior disorder,Clinical evaluation for parkinsonism/fluctuation plus structural imaging if needed,McKeith IG. Diagnosis and management of dementia with Lewy bodies: Fourth consensus report of the DLB Consortium. Neurology. 2017;89(1):88-100. DOI: 10.1212/WNL.0000000000004058. https://pubmed.ncbi.nlm.nih.gov/28592453/,High,"Visual hallucinations, cognitive fluctuations, parkinsonism, or REM sleep behavior disorder are more prominent than typical AD.",Clinical evaluation for parkinsonism/fluctuation plus structural imaging if needed,路易体痴呆,视觉幻觉、认知波动、帕金森样运动表现或REM睡眠行为异常更为突出。
AD_DIFF_003,Executive dysfunction + vascular risk pattern,Vascular dementia,Executive dysfunction with stepwise or focal features should prompt vascular evaluation.,"Stepwise decline, focal neurologic signs, vascular lesions on MRI","Stepwise decline, focal neurologic signs, and vascular brain injury support vascular cognitive disorder.",Stepwise decline; focal deficits; gait disorder; vascular lesions on imaging,MRI for vascular burden and neurologic examination for focal signs,Sachdev P. Diagnostic criteria for vascular cognitive disorders: a VASCOG statement. Alzheimer Disease and Associated Disorders. 2014;28(3):206-218. DOI: 10.1097/WAD.0000000000000034. https://pubmed.ncbi.nlm.nih.gov/24632990/,High,"Stepwise decline, focal neurologic signs, and vascular brain injury support vascular cognitive disorder.",MRI for vascular burden and neurologic examination for focal signs,血管性认知障碍,常见阶梯样进展、局灶神经系统体征或影像学血管性病变证据。
AD_DIFF_004,Memory complaint + depressive symptoms,Depression-related cognitive impairment,Depression can cause cognitive complaints and mimic early AD; mood symptoms require assessment.,"Prominent low mood, sleep/appetite change, variable effort, improvement with mood treatment","Mood symptoms, sleep/appetite changes, and variable effort can dominate the cognitive complaint.",Prominent low mood; anhedonia; sleep disturbance; inconsistent cognitive effort,Mood assessment plus cognitive reassessment after addressing reversible contributors,Arvanitakis Z. Diagnosis and Management of Dementia: Review. JAMA. 2019;322(16):1589-1599. DOI: 10.1001/jama.2019.4782. https://pubmed.ncbi.nlm.nih.gov/31638686/,Medium,"Mood symptoms, sleep/appetite changes, and variable effort can dominate the cognitive complaint.",Mood assessment plus cognitive reassessment after addressing reversible contributors,抑郁相关认知功能损害,情绪低落、兴趣下降、睡眠或食欲改变以及躯体状态可能主导认知和功能表现。
AD_DIFF_005,Acute attention impairment + behavioral change,Delirium,Acute or fluctuating attention disturbance is not typical for gradual AD onset.,"Acute onset, fluctuation, altered arousal, medical trigger or medication effect",Acute onset and fluctuating attention/arousal are not typical for gradual AD presentation.,Acute onset; fluctuating consciousness; medical trigger; medication toxicity,Urgent medical evaluation for delirium causes plus medication and laboratory review,Inouye SK. Delirium in elderly people. Lancet. 2014;383(9920):911-922. DOI: 10.1016/S0140-6736(13)60688-1. https://pubmed.ncbi.nlm.nih.gov/23992774/,High,Acute onset and fluctuating attention/arousal are not typical for gradual AD presentation.,Urgent medical evaluation for delirium causes plus medication and laboratory review,谵妄,起病急、注意和意识水平波动明显，常存在感染、代谢紊乱或药物等诱因。
AD_DIFF_006,Language predominant impairment,Primary progressive aphasia / frontotemporal dementia,Language-predominant symptoms can be AD-compatible but require PPA and FTD differential assessment.,"Prominent aphasia, naming/comprehension profile, anterior temporal or frontal involvement",Language syndrome is dominant and may follow PPA patterns rather than typical memory-predominant AD.,Early prominent aphasia; grammar or semantic impairment; asymmetric language-network atrophy,Speech-language/neuropsychological assessment plus MRI and specialist evaluation,Gorno-Tempini ML. Classification of primary progressive aphasia and its variants. Neurology. 2011;76(11):1006-1014. DOI: 10.1212/WNL.0b013e31821103e6. https://pubmed.ncbi.nlm.nih.gov/21325651/,Medium,Language syndrome is dominant and may follow PPA patterns rather than typical memory-predominant AD.,Speech-language/neuropsychological assessment plus MRI and specialist evaluation,原发性进行性失语 / frontotemporal dementia,语言障碍为核心表现，需根据流畅性、命名、语义和复述特点进一步分型。
AD_DIFF_007,Visuospatial predominant impairment,Dementia with Lewy bodies or posterior cortical atrophy,Visuospatial symptoms can occur in AD/PCA but DLB and visual disorders must be considered.,"Visual hallucinations, parkinsonism, occipital/visual complaints, ophthalmologic disease","Visual hallucinations, cognitive fluctuations, parkinsonism, or REM sleep behavior disorder are more prominent than typical AD.",Early hallucination; marked fluctuation; parkinsonism; REM sleep behavior disorder,Clinical evaluation for parkinsonism/fluctuation plus structural imaging if needed,McKeith IG. Diagnosis and management of dementia with Lewy bodies: Fourth consensus report of the DLB Consortium. Neurology. 2017;89(1):88-100. DOI: 10.1212/WNL.0000000000004058. https://pubmed.ncbi.nlm.nih.gov/28592453/,High,"Visual hallucinations, cognitive fluctuations, parkinsonism, or REM sleep behavior disorder are more prominent than typical AD.",Clinical evaluation for parkinsonism/fluctuation plus structural imaging if needed,路易体痴呆或后皮质萎缩,视觉幻觉、认知波动、帕金森样运动表现或REM睡眠行为异常更为突出。
AD_DIFF_008,Psychosis with dementia,Dementia with Lewy bodies / delirium / primary psychiatric disorder,Psychosis can occur in AD but should trigger broader differential review.,"Prominent hallucinations, fluctuation, delusional content, medication or systemic illness","Visual hallucinations, cognitive fluctuations, parkinsonism, or REM sleep behavior disorder are more prominent than typical AD.",Early hallucination; marked fluctuation; parkinsonism; REM sleep behavior disorder,Clinical evaluation for parkinsonism/fluctuation plus structural imaging if needed,Fischer CE. Revisiting Criteria for Psychosis in Alzheimer's Disease and Related Dementias: Toward Better Phenotypic Classification and Biomarker Research. Journal of Alzheimer's Disease. 2020;73(3):1143-1156. DOI: 10.3233/JAD-190828. https://pubmed.ncbi.nlm.nih.gov/31884469/,High,"Visual hallucinations, cognitive fluctuations, parkinsonism, or REM sleep behavior disorder are more prominent than typical AD.",Clinical evaluation for parkinsonism/fluctuation plus structural imaging if needed,路易体痴呆 / delirium / 原发性精神障碍,视觉幻觉、认知波动、帕金森样运动表现或REM睡眠行为异常更为突出。
AD_DIFF_009,Functional decline without clear cognitive-domain impairment,Medical frailty or depression-related functional impairment,Functional problems without objective cognitive-domain impairment may reflect non-AD causes.,"Physical illness, sensory impairment, low mood, pain, medication burden",Pattern differs from typical memory-predominant AD.,Rapid progression; early motor signs; atypical focal neurologic signs,"Detailed clinical review, neuropsychological assessment, and MRI",Arvanitakis Z. Diagnosis and Management of Dementia: Review. JAMA. 2019;322(16):1589-1599. DOI: 10.1001/jama.2019.4782. https://pubmed.ncbi.nlm.nih.gov/31638686/,Low,Pattern differs from typical memory-predominant AD.,"Detailed clinical review, neuropsychological assessment, and MRI",躯体衰弱相关功能下降或depression-related functional impairment,情绪低落、兴趣下降、睡眠或食欲改变以及躯体状态可能主导认知和功能表现。
AD_DIFF_010,Posterior cortical visual-perceptual syndrome,Posterior cortical atrophy / ophthalmologic disease / Lewy body disease,PCA is often AD-related but visual and Lewy body differentials remain important.,"Early visual-perceptual complaints, reading difficulty, object localization problems","Visual-perceptual symptoms dominate and may reflect PCA, eye disease, or Lewy body disease.",Early visual-perceptual symptoms; hallucination; ocular disease; marked visuospatial dysfunction,"Visual assessment, neuropsychological visuospatial testing, and MRI",Crutch SJ. Consensus classification of posterior cortical atrophy. Alzheimer's & Dementia. 2017;13(8):870-884. DOI: 10.1016/j.jalz.2017.01.014. https://pubmed.ncbi.nlm.nih.gov/28259709/,High,"Visual-perceptual symptoms dominate and may reflect PCA, eye disease, or Lewy body disease.","Visual assessment, neuropsychological visuospatial testing, and MRI",后皮质萎缩 / 眼科疾病 / 路易体相关疾病,视觉幻觉、认知波动、帕金森样运动表现或REM睡眠行为异常更为突出。
