Input_Condition,Generated_Feature,Encoding_Value,Evidence_Source
医生输入或患者表达包含：最近发生的事总记不住；对应标准术语：情景记忆损害,memory_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Episodic memory impairment
医生输入或患者表达包含：刚经历过的事情转头就忘；对应标准术语：情景记忆损害,memory_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Episodic memory impairment
医生输入或患者表达包含：最近总忘刚发生的事情；对应标准术语：情景记忆损害,memory_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Episodic memory impairment
医生输入或患者表达包含：刚聊过的内容很快想不起来；对应标准术语：情景记忆损害,memory_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Episodic memory impairment
医生输入或患者表达包含：最近总忘事情；对应标准术语：近期记忆下降,memory_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Recent memory loss
医生输入或患者表达包含：近来的事情记不住；对应标准术语：近期记忆下降,memory_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Recent memory loss
医生输入或患者表达包含：刚说过的话马上忘；对应标准术语：近期记忆下降,memory_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Recent memory loss
医生输入或患者表达包含：最近记性明显变差；对应标准术语：近期记忆下降,memory_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Recent memory loss
医生输入或患者表达包含：以前能安排的事情现在安排不好；对应标准术语：执行功能障碍,executive_dysfunction,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Executive dysfunction
医生输入或患者表达包含：做事情没有以前有条理；对应标准术语：执行功能障碍,executive_dysfunction,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Executive dysfunction
医生输入或患者表达包含：处理复杂事情变得困难；对应标准术语：执行功能障碍,executive_dysfunction,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Executive dysfunction
医生输入或患者表达包含：多步骤任务容易乱；对应标准术语：执行功能障碍,executive_dysfunction,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Executive dysfunction
医生输入或患者表达包含：不会安排一天的事情；对应标准术语：计划能力下降,executive_dysfunction,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Impaired planning
医生输入或患者表达包含：出门前准备总是漏东西；对应标准术语：计划能力下降,executive_dysfunction,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Impaired planning
医生输入或患者表达包含：计划家务或行程变困难；对应标准术语：计划能力下降,executive_dysfunction,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Impaired planning
医生输入或患者表达包含：以前能规划的事情现在做不好；对应标准术语：计划能力下降,executive_dysfunction,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Impaired planning
医生输入或患者表达包含：说话时总找不到合适的词；对应标准术语：找词困难,language_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Word-finding difficulty
医生输入或患者表达包含：想说的话卡在嘴边；对应标准术语：找词困难,language_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Word-finding difficulty
医生输入或患者表达包含：经常用那个东西代替名字；对应标准术语：找词困难,language_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Word-finding difficulty
医生输入或患者表达包含：说话会停下来想词；对应标准术语：找词困难,language_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Word-finding difficulty
医生输入或患者表达包含：常叫不出熟悉物品的名字；对应标准术语：命名困难,language_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Anomia
医生输入或患者表达包含：看到东西说不出叫什么；对应标准术语：命名困难,language_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Anomia
医生输入或患者表达包含：熟人的名字一时想不起来；对应标准术语：命名困难,language_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Anomia
医生输入或患者表达包含：命名物品明显变困难；对应标准术语：命名困难,language_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Anomia
医生输入或患者表达包含：出现视觉空间能力受损；对应标准术语：视觉空间能力受损,visuospatial_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Visuospatial impairment
医生输入或患者表达包含：家属反映有视觉空间能力受损；对应标准术语：视觉空间能力受损,visuospatial_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Visuospatial impairment
医生输入或患者表达包含：门诊描述为视觉空间能力受损；对应标准术语：视觉空间能力受损,visuospatial_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Visuospatial impairment
医生输入或患者表达包含：出现空间导航困难；对应标准术语：空间导航困难,visuospatial_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Navigation difficulty
医生输入或患者表达包含：家属反映有空间导航困难；对应标准术语：空间导航困难,visuospatial_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Navigation difficulty
医生输入或患者表达包含：门诊描述为空间导航困难；对应标准术语：空间导航困难,visuospatial_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Navigation difficulty
医生输入或患者表达包含：分不清自己在什么位置；对应标准术语：地形定向障碍,visuospatial_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Topographical disorientation
医生输入或患者表达包含：熟悉街区也会迷失方向；对应标准术语：地形定向障碍,visuospatial_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Topographical disorientation
医生输入或患者表达包含：注意力很难集中；对应标准术语：注意功能受损,attention_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Attentional impairment
医生输入或患者表达包含：说话时容易走神；对应标准术语：注意功能受损,attention_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Attentional impairment
医生输入或患者表达包含：做事经常被打断后接不上；对应标准术语：注意功能受损,attention_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Attentional impairment
医生输入或患者表达包含：看电视或聊天不能持续注意；对应标准术语：注意功能受损,attention_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Attentional impairment
医生输入或患者表达包含：看东西时容易漏掉一部分；对应标准术语：视觉注意受损,attention_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Visual attention impairment
医生输入或患者表达包含：在复杂场景里找不到目标；对应标准术语：视觉注意受损,attention_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Visual attention impairment
医生输入或患者表达包含：视觉搜索变慢；对应标准术语：视觉注意受损,attention_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Visual attention impairment
