Conflict_ID,Rule_A,Rule_B,Conflict_Type,Resolution_Strategy,Clinical_Explanation,Reference
AD_CONFLICT_001,AD_PATTERN_001,AD_PATTERN_004,Stage ambiguity,Prioritize higher functional impairment rule,Memory impairment with functional_decline >= 2 should be interpreted as a dementia-stage prompt rather than MCI-like pattern.,Albert MS. The diagnosis of mild cognitive impairment due to Alzheimer's disease: recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease. Alzheimer's & Dementia. 2011;7(3):270-279. DOI: 10.1016/j.jalz.2011.03.008. https://pubmed.ncbi.nlm.nih.gov/21514249/
AD_CONFLICT_002,AD_PATTERN_002,AD_PATTERN_001,Overlap,Require objective cognitive evaluation,Subjective memory complaint and memory-predominant MCI overlap; objective testing and functional assessment decide whether the MCI pattern is supported.,Albert MS. The diagnosis of mild cognitive impairment due to Alzheimer's disease: recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease. Alzheimer's & Dementia. 2011;7(3):270-279. DOI: 10.1016/j.jalz.2011.03.008. https://pubmed.ncbi.nlm.nih.gov/21514249/
AD_CONFLICT_003,AD_PATTERN_001,AD_PATTERN_007,Overlap,Use multidomain characterization,Executive features alongside memory symptoms should trigger multidomain characterization rather than a pure memory-only interpretation.,Albert MS. The diagnosis of mild cognitive impairment due to Alzheimer's disease: recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease. Alzheimer's & Dementia. 2011;7(3):270-279. DOI: 10.1016/j.jalz.2011.03.008. https://pubmed.ncbi.nlm.nih.gov/21514249/
AD_CONFLICT_004,AD_PATTERN_001,AD_PATTERN_008,Competing diagnosis,Recommend language/FTD differential assessment,Language-predominant symptoms with less prominent memory impairment should prompt PPA/FTD evaluation before emphasizing typical AD.,Gorno-Tempini ML. Classification of primary progressive aphasia and its variants. Neurology. 2011;76(11):1006-1014. DOI: 10.1212/WNL.0b013e31821103e6. https://pubmed.ncbi.nlm.nih.gov/21325651/
AD_CONFLICT_005,AD_PATTERN_001,AD_PATTERN_011,Competing diagnosis,Prioritize atypical posterior cortical pathway,Dominant visuospatial or posterior cortical symptoms should route to atypical AD/PCA and visual/Lewy body differential assessment.,Crutch SJ. Consensus classification of posterior cortical atrophy. Alzheimer's & Dementia. 2017;13(8):870-884. DOI: 10.1016/j.jalz.2017.01.014. https://pubmed.ncbi.nlm.nih.gov/28259709/
AD_CONFLICT_006,AD_PATTERN_004,AD_PATTERN_015,Stage ambiguity,Prioritize basic ADL severity rule,Basic ADL impairment indicates a more advanced functional stage than IADL-only dementia pattern.,Albert MS. The diagnosis of mild cognitive impairment due to Alzheimer's disease: recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease. Alzheimer's & Dementia. 2011;7(3):270-279. DOI: 10.1016/j.jalz.2011.03.008. https://pubmed.ncbi.nlm.nih.gov/21514249/
AD_CONFLICT_007,AD_PATTERN_012,AD_PATTERN_007,Competing diagnosis,Recommend FTD differential assessment,Early behavioral symptoms with executive dysfunction and limited memory impairment should prompt consideration of FTD rather than typical AD pattern.,Rascovsky K. Sensitivity of revised diagnostic criteria for the behavioural variant of frontotemporal dementia. Brain. 2011;134(Pt 9):2456-2477. DOI: 10.1093/brain/awr179. https://pubmed.ncbi.nlm.nih.gov/21810890/
AD_CONFLICT_008,AD_PATTERN_013,AD_PATTERN_005,Competing diagnosis,Recommend DLB/delirium differential assessment,"Visual hallucinations, delusions, or attention fluctuation should trigger Lewy body and delirium review even when multidomain impairment is present.",McKeith IG. Diagnosis and management of dementia with Lewy bodies: Fourth consensus report of the DLB Consortium. Neurology. 2017;89(1):88-100. DOI: 10.1212/WNL.0000000000004058. https://pubmed.ncbi.nlm.nih.gov/28592453/
AD_CONFLICT_009,AD_PATTERN_014,AD_PATTERN_001,Competing diagnosis,Require acute/fluctuating attention review,"Attention-dominant or fluctuating symptoms reduce support for typical gradual AD until delirium, DLB, and medication effects are reviewed.",Inouye SK. Delirium in elderly people. Lancet. 2014;383(9920):911-922. DOI: 10.1016/S0140-6736(13)60688-1. https://pubmed.ncbi.nlm.nih.gov/23992774/
AD_CONFLICT_010,AD_PATTERN_007,AD_PATTERN_004,Competing diagnosis,Recommend vascular assessment when stepwise/focal features present,Executive dysfunction with stepwise decline or focal signs should prioritize vascular cognitive disorder evaluation.,Sachdev P. Diagnostic criteria for vascular cognitive disorders: a VASCOG statement. Alzheimer Disease and Associated Disorders. 2014;28(3):206-218. DOI: 10.1097/WAD.0000000000000034. https://pubmed.ncbi.nlm.nih.gov/24632990/
AD_CONFLICT_011,AD_PATTERN_002,AD_PATTERN_012,Competing diagnosis,Assess mood and psychiatric contributors,Memory complaints with depressive or behavioral symptoms require mood and psychiatric review before AD-oriented staging.,Arvanitakis Z. Diagnosis and Management of Dementia: Review. JAMA. 2019;322(16):1589-1599. DOI: 10.1001/jama.2019.4782. https://pubmed.ncbi.nlm.nih.gov/31638686/
AD_CONFLICT_012,AD_PATTERN_017,AD_PATTERN_001,Overlap,Apply no-strong-pattern only if no higher-priority rule is met,"The no-strong-pattern rule should never override memory, functional, multidomain, or differential red-flag rules.",Albert MS. The diagnosis of mild cognitive impairment due to Alzheimer's disease: recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease. Alzheimer's & Dementia. 2011;7(3):270-279. DOI: 10.1016/j.jalz.2011.03.008. https://pubmed.ncbi.nlm.nih.gov/21514249/
